date,prcp
6/20/2012,0
6/21/2012,0
6/22/2012,0
6/23/2012,0
6/24/2012,0
6/25/2012,0.03
6/26/2012,0.15
6/27/2012,0.01
6/28/2012,0
6/29/2012,0.05
6/30/2012,0
7/1/2012,0
7/2/2012,0
7/3/2012,0.04
7/4/2012,0.01
7/5/2012,0.03
7/6/2012,0
7/7/2012,0.04
7/8/2012,0
7/9/2012,
7/10/2012,0
7/11/2012,0
7/12/2012,0
7/13/2012,0
7/14/2012,0
7/15/2012,0
7/16/2012,0.01
7/17/2012,0
7/18/2012,0
7/19/2012,0
7/20/2012,0
7/21/2012,0
7/22/2012,0
7/23/2012,0
7/24/2012,0
7/25/2012,0
7/26/2012,0.02
7/27/2012,0
7/28/2012,0
7/29/2012,0.01
7/30/2012,0.01
7/31/2012,0
8/1/2012,0
8/2/2012,0
8/3/2012,0
8/4/2012,0
8/5/2012,0
8/6/2012,0
8/7/2012,0
8/8/2012,0.02
8/9/2012,0
8/10/2012,0
8/11/2012,0
8/12/2012,0
8/13/2012,0
8/14/2012,0
8/15/2012,0.01
8/16/2012,0
8/17/2012,0
8/18/2012,
8/19/2012,
8/20/2012,0
8/21/2012,0
8/22/2012,0.03
8/23/2012,0
8/24/2012,0
8/25/2012,0
8/26/2012,0
8/27/2012,0.02
8/28/2012,1
8/29/2012,0.02
8/30/2012,0.04
8/31/2012,0
9/1/2012,0.01
9/2/2012,0.04
9/3/2012,0.06
9/4/2012,0
9/5/2012,0.01
9/6/2012,0.04
9/7/2012,0
9/8/2012,0.06
9/9/2012,0
9/10/2012,0
9/11/2012,0
9/12/2012,0.02
9/13/2012,0.05
9/14/2012,0.04
9/15/2012,0
9/16/2012,0
9/17/2012,0
9/18/2012,0.06
9/19/2012,0
9/20/2012,0.07
9/21/2012,0.08
9/22/2012,0
9/23/2012,0.04
9/24/2012,0
9/25/2012,0
9/26/2012,0.01
9/27/2012,0.02
9/28/2012,0
9/29/2012,0
9/30/2012,0.02
10/1/2012,0
10/2/2012,0
10/3/2012,0
10/4/2012,0
10/5/2012,0
10/6/2012,0.03
10/7/2012,0
10/8/2012,0
10/9/2012,0
10/10/2012,0
10/11/2012,0
10/12/2012,0
10/13/2012,0
10/14/2012,0
10/15/2012,0.02
10/16/2012,0
10/17/2012,0
10/18/2012,0
10/19/2012,0
10/20/2012,0
10/21/2012,0
10/22/2012,0
10/23/2012,0
10/24/2012,0
10/25/2012,0
10/26/2012,0
10/27/2012,0
10/28/2012,0.02
10/29/2012,0.04
10/30/2012,0
10/31/2012,0.02
11/1/2012,0
11/2/2012,0
11/3/2012,0
11/4/2012,0
11/5/2012,0
11/6/2012,0
11/7/2012,0
11/8/2012,0
11/9/2012,0.03
11/10/2012,0
11/11/2012,0
11/12/2012,0
11/13/2012,0.06
11/14/2012,0
